What is your biggest problem?,Occupation_Other,District,Month,Gender,Age,Are you satisfied with what NGOs are doing for you after the earthquake?,Are your main problems being addressed?,Are your main problems being addressed2?,What is the top thing that you need information about?,Is support provided in a fair way?,Do_you_have_any_health_problem,C0JS,Date,Ward,Ethnicity_Other,Round,Ethnicity,Occupation
Long term shelter / housing,NA,Makwanpur,7,Female,40 to 54,1 Not at all,1 Not at all,3 Neutral,News about government decisions,1 Not at all,No difficulty.,1 Not at all,18/07/15,5,NA,1,Tamang,Farmer / Laborer
Healthcare,NA,Makwanpur,7,Male,55+,1 Not at all,1 Not at all,1 Not at all,How to get healthcare psychosocial support,1 Not at all,"Yes, a lot of difficulty.",1 Not at all,18/07/15,5,NA,1,Brahmin,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Makwanpur,7,Male,55+,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,18/07/15,5,NA,1,Brahmin,Farmer / Laborer
Psychosocial counseling,NA,Makwanpur,7,Male,25 to 39,1 Not at all,2 Very little,1 Not at all,How to get healthcare psychosocial support,1 Not at all,No difficulty.,1 Not at all,18/07/15,5,NA,1,Tamang,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,Jobless,Makwanpur,7,Male,25 to 39,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,18/07/15,5,NA,1,Tamang,Other
Healthcare,NA,Makwanpur,7,Male,40 to 54,3 Neutral,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",2 Very little,19/07/15,2,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
Healthcare,NA,Makwanpur,7,Female,15 to 24,1 Not at all,1 Not at all,1 Not at all,Others,1 Not at all,No difficulty.,1 Not at all,19/07/15,2,NA,1,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,40 to 54,2 Very little,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,2 Very little,19/07/15,2,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,Student,Makwanpur,7,Female,25 to 39,1 Not at all,1 Not at all,1 Not at all,News about government decisions,2 Very little,No difficulty.,1 Not at all,19/07/15,2,NA,1,Brahmin,Other
Long term shelter / housing,Student,Makwanpur,7,Male,25 to 39,1 Not at all,1 Not at all,2 Very little,News about government decisions,1 Not at all,No difficulty.,2 Very little,19/07/15,2,NA,1,Brahmin,Other
Long term shelter / housing,NA,Makwanpur,7,Female,40 to 54,1 Not at all,1 Not at all,3 Neutral,How to get shelter materials,1 Not at all,No difficulty.,1 Not at all,18/07/15,1,NA,1,Brahmin,Farmer / Laborer
Psychosocial counseling,NA,Makwanpur,7,Male,40 to 54,4 Mostly yes,2 Very little,2 Very little,News about government decisions,1 Not at all,"Yes, some difficulty.",2 Very little,18/07/15,1,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
Psychosocial counseling,Housewife,Makwanpur,7,Female,25 to 39,2 Very little,1 Not at all,2 Very little,News about government decisions,1 Not at all,No difficulty.,1 Not at all,18/07/15,1,NA,1,Tamang,Other
Long term shelter / housing,Housewife,Makwanpur,7,Female,25 to 39,1 Not at all,3 Neutral,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",3 Neutral,18/07/15,1,NA,1,Brahmin,Other
Psychosocial counseling,NA,Makwanpur,7,Male,25 to 39,1 Not at all,1 Not at all,1 Not at all,How to get healthcare psychosocial support,1 Not at all,No difficulty.,2 Very little,18/07/15,1,NA,1,Brahmin,NGO Worker / Business
Long term shelter / housing,NA,Makwanpur,7,Male,40 to 54,2 Very little,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,2 Very little,20/07/15,2,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,55+,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,21/07/15,2,NA,1,Brahmin,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Makwanpur,7,Female,25 to 39,2 Very little,2 Very little,1 Not at all,News about government decisions,1 Not at all,No difficulty.,2 Very little,21/07/15,2,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
Short-term shelter (tent / shelterbox),NA,Makwanpur,7,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,21/07/15,2,NA,1,Chhetri,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Makwanpur,7,Male,40 to 54,2 Very little,1 Not at all,2 Very little,News about government decisions,2 Very little,"Yes, a lot of difficulty.",2 Very little,20/07/15,3,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Makwanpur,7,Male,15 to 24,2 Very little,2 Very little,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,21/07/15,6,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,Student,Makwanpur,7,Female,15 to 24,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,21/07/15,6,NA,1,Tamang,Other
Long term shelter / housing,NA,Makwanpur,7,Male,40 to 54,2 Very little,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, a lot of difficulty.",2 Very little,20/07/15,6,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Makwanpur,7,Male,25 to 39,2 Very little,1 Not at all,2 Very little,News about government decisions,1 Not at all,"Yes, some difficulty.",2 Very little,21/07/15,6,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Makwanpur,7,Male,40 to 54,2 Very little,1 Not at all,2 Very little,News about government decisions,1 Not at all,"Yes, a lot of difficulty.",1 Not at all,21/07/15,6,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Female,40 to 54,1 Not at all,1 Not at all,2 Very little,News about government decisions,1 Not at all,"Yes, a lot of difficulty.",1 Not at all,21/07/15,7,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Female,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,21/07/15,7,NA,1,Tamang,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Female,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",2 Very little,21/07/15,7,NA,1,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,55+,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, a lot of difficulty.",1 Not at all,21/07/15,7,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,55+,2 Very little,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, a lot of difficulty.",1 Not at all,21/07/15,7,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,40 to 54,2 Very little,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,21/07/15,9,NA,1,Tamang,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, a lot of difficulty.",2 Very little,21/07/15,9,NA,1,Brahmin,NGO Worker / Business
Long term shelter / housing,Not Mentioned,Makwanpur,7,Female,15 to 24,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,21/07/15,9,NA,1,Tamang,Other
Long term shelter / housing,NA,Makwanpur,7,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, a lot of difficulty.",1 Not at all,21/07/15,9,NA,1,Tamang,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Female,25 to 39,2 Very little,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,21/07/15,9,NA,1,Tamang,Farmer / Laborer
Financial support,NA,Makwanpur,7,Male,55+,2 Very little,2 Very little,2 Very little,NA,1 Not at all,No difficulty.,4 Mostly yes,20/07/15,8,NA,1,Newar,NGO Worker / Business
Long term shelter / housing,NA,Makwanpur,7,Female,55+,6 Don't know,1 Not at all,2 Very little,NA,6 Don't know,"Yes, some difficulty.",6 Don't know,20/07/15,8,NA,1,Chhetri,Farmer / Laborer
NA,Foreign Employment,Makwanpur,7,Male,25 to 39,3 Neutral,4 Mostly yes,4 Mostly yes,NA,6 Don't know,No difficulty.,4 Mostly yes,20/07/15,8,NA,1,Brahmin,Other
Long term shelter / housing,NA,Makwanpur,7,Female,40 to 54,2 Very little,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,2 Very little,20/07/15,8,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,25 to 39,4 Mostly yes,2 Very little,4 Mostly yes,NA,2 Very little,No difficulty.,4 Mostly yes,20/07/15,8,NA,1,Brahmin,NGO Worker / Business
Financial support,NA,Makwanpur,7,Female,40 to 54,3 Neutral,1 Not at all,2 Very little,News about government decisions,6 Don't know,No difficulty.,2 Very little,19/07/15,2,NA,1,Tamang,Farmer / Laborer
Psychosocial counseling,NA,Makwanpur,7,Female,40 to 54,4 Mostly yes,3 Neutral,4 Mostly yes,NA,3 Neutral,No difficulty.,4 Mostly yes,19/07/15,2,NA,1,Chhetri,NGO Worker / Business
Long term shelter / housing,Worker on Steel Factory,Makwanpur,7,Male,40 to 54,2 Very little,2 Very little,3 Neutral,News about government decisions,1 Not at all,No difficulty.,2 Very little,19/07/15,2,NA,1,Dalit,Other
Long term shelter / housing,NA,Makwanpur,7,Male,40 to 54,3 Neutral,1 Not at all,3 Neutral,News about government decisions,4 Mostly yes,No difficulty.,2 Very little,18/07/15,2,NA,1,Tamang,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,55+,3 Neutral,1 Not at all,1 Not at all,News about government decisions,6 Don't know,"Yes, a lot of difficulty.",1 Not at all,17/07/15,5,NA,1,Janajati,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,40 to 54,2 Very little,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,2 Very little,17/07/15,5,NA,1,Janajati,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,Refused,1 Not at all,2 Very little,2 Very little,News about government decisions,2 Very little,"Yes, some difficulty.",2 Very little,17/07/15,5,NA,1,Janajati,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,40 to 54,2 Very little,1 Not at all,2 Very little,News about government decisions,2 Very little,"Yes, some difficulty.",1 Not at all,17/07/15,5,NA,1,Janajati,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,40 to 54,4 Mostly yes,2 Very little,1 Not at all,News about government decisions,2 Very little,"Yes, some difficulty.",2 Very little,17/07/15,5,NA,1,Janajati,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,25 to 39,3 Neutral,2 Very little,3 Neutral,NA,3 Neutral,No difficulty.,4 Mostly yes,16/07/15,1,NA,1,Brahmin,Skilled Worker (i.e. Carpenter)
Long term shelter / housing,NA,Makwanpur,7,Male,25 to 39,2 Very little,2 Very little,3 Neutral,News about government decisions,2 Very little,"Yes, some difficulty.",2 Very little,16/07/15,1,NA,1,Tamang,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Makwanpur,7,Male,55+,2 Very little,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",2 Very little,16/07/15,1,NA,1,Brahmin,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Makwanpur,7,Male,40 to 54,2 Very little,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,16/07/15,1,NA,1,Newar,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,55+,3 Neutral,1 Not at all,1 Not at all,News about government decisions,2 Very little,"Yes, a lot of difficulty.",2 Very little,16/07/15,1,NA,1,Chhetri,Farmer / Laborer
NA,NA,Makwanpur,7,Male,25 to 39,3 Neutral,4 Mostly yes,3 Neutral,NA,1 Not at all,No difficulty.,4 Mostly yes,18/07/15,2,NA,1,Newar,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,25 to 39,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,2 Very little,21/07/15,1,NA,1,Janajati,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Makwanpur,7,Male,40 to 54,2 Very little,1 Not at all,2 Very little,News about government decisions,1 Not at all,"Yes, some difficulty.",2 Very little,21/07/15,1,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,25 to 39,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,21/07/15,1,NA,1,Janajati,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,21/07/15,1,NA,1,Dalit,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Makwanpur,7,Female,15 to 24,2 Very little,2 Very little,1 Not at all,News about government decisions,1 Not at all,No difficulty.,2 Very little,21/07/15,1,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
Psychosocial counseling,NA,Makwanpur,7,Female,15 to 24,2 Very little,1 Not at all,1 Not at all,How to get healthcare psychosocial support,1 Not at all,No difficulty.,1 Not at all,20/07/15,1,NA,1,Tamang,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,25 to 39,3 Neutral,2 Very little,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",2 Very little,20/07/15,1,NA,1,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,40 to 54,2 Very little,1 Not at all,2 Very little,News about government decisions,1 Not at all,No difficulty.,3 Neutral,20/07/15,1,NA,1,Brahmin,NGO Worker / Business
Long term shelter / housing,Student,Makwanpur,7,Female,15 to 24,1 Not at all,1 Not at all,2 Very little,News about government decisions,1 Not at all,No difficulty.,3 Neutral,20/07/15,1,NA,1,Chhetri,Other
Psychosocial counseling,Student,Makwanpur,7,Female,15 to 24,2 Very little,2 Very little,1 Not at all,How to get healthcare psychosocial support,1 Not at all,No difficulty.,1 Not at all,20/07/15,1,NA,1,Chhetri,Other
Long term shelter / housing,NA,Makwanpur,7,Female,15 to 24,2 Very little,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",2 Very little,20/07/15,3,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Female,15 to 24,2 Very little,2 Very little,1 Not at all,News about government decisions,1 Not at all,No difficulty.,2 Very little,20/07/15,3,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Female,40 to 54,1 Not at all,2 Very little,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",2 Very little,20/07/15,3,NA,1,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Makwanpur,7,Male,40 to 54,2 Very little,2 Very little,2 Very little,News about government decisions,1 Not at all,No difficulty.,1 Not at all,20/07/15,3,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Nuwakot,7,Male,55+,1 Not at all,2 Very little,6 Don't know,NA,2 Very little,"Yes, some difficulty.",6 Don't know,17/07/15,9,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Male,40 to 54,6 Don't know,3 Neutral,2 Very little,NA,1 Not at all,No difficulty.,6 Don't know,17/07/15,9,NA,1,Tamang,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Nuwakot,7,Male,15 to 24,6 Don't know,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,2 Very little,18/07/15,7,NA,1,Dalit,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Male,25 to 39,3 Neutral,1 Not at all,2 Very little,News about government decisions,1 Not at all,No difficulty.,2 Very little,18/07/15,9,not available,1,Other,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,not available,Nuwakot,7,Male,40 to 54,4 Mostly yes,1 Not at all,1 Not at all,How to replace personal documentation,4 Mostly yes,"Yes, a lot of difficulty.",1 Not at all,18/07/15,9,NA,1,Tamang,Other
NA,Not Mention,Nuwakot,7,Male,25 to 39,2 Very little,5 Completely yes,3 Neutral,NA,5 Completely yes,No difficulty.,7 Refused,18/07/15,7,NA,1,Dalit,Other
Long term shelter / housing,NA,Nuwakot,7,Male,25 to 39,3 Neutral,2 Very little,4 Mostly yes,News about government decisions,4 Mostly yes,No difficulty.,2 Very little,18/07/15,9,NA,1,Tamang,Farmer / Laborer
NA,NA,Nuwakot,7,Male,15 to 24,2 Very little,5 Completely yes,2 Very little,NA,2 Very little,No difficulty.,7 Refused,18/07/15,7,NA,1,Dalit,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Female,25 to 39,2 Very little,1 Not at all,1 Not at all,How to get shelter materials,1 Not at all,No difficulty.,2 Very little,18/07/15,9,NA,1,Tamang,Farmer / Laborer
NA,NA,Nuwakot,7,Male,55+,6 Don't know,5 Completely yes,2 Very little,NA,3 Neutral,"Yes, a lot of difficulty.",4 Mostly yes,18/07/15,7,NA,1,Brahmin,Farmer / Laborer
NA,Not Mentioned,Nuwakot,7,Female,25 to 39,4 Mostly yes,6 Don't know,1 Not at all,How to get shelter materials,5 Completely yes,"Yes, some difficulty.",3 Neutral,18/07/15,7,NA,1,Brahmin,Other
NA,NA,Nuwakot,7,Male,25 to 39,5 Completely yes,4 Mostly yes,5 Completely yes,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,18/07/15,7,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Female,25 to 39,5 Completely yes,2 Very little,5 Completely yes,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,17/07/15,4,NA,1,Tamang,Farmer / Laborer
Healthcare,NA,Nuwakot,7,Male,25 to 39,4 Mostly yes,3 Neutral,7 Refused,NA,3 Neutral,"Yes, a lot of difficulty.",4 Mostly yes,18/07/15,7,NA,1,Dalit,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Male,40 to 54,2 Very little,3 Neutral,5 Completely yes,NA,5 Completely yes,"Yes, a lot of difficulty.",4 Mostly yes,18/07/15,7,NA,1,Brahmin,Skilled Worker (i.e. Carpenter)
Short-term shelter (tent / shelterbox),NA,Nuwakot,7,Female,25 to 39,2 Very little,1 Not at all,2 Very little,News about government decisions,1 Not at all,No difficulty.,1 Not at all,17/07/15,4,Jaissi,1,Other,Farmer / Laborer
NA,NA,Nuwakot,7,Female,40 to 54,1 Not at all,7 Refused,2 Very little,How to get shelter materials,1 Not at all,No difficulty.,2 Very little,18/07/15,7,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Female,40 to 54,1 Not at all,2 Very little,2 Very little,Finding missing people,1 Not at all,"Yes, some difficulty.",1 Not at all,17/07/15,4,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Male,55+,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,21/07/15,5,NA,1,Tamang,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Male,55+,5 Completely yes,1 Not at all,4 Mostly yes,News about government decisions,1 Not at all,No difficulty.,1 Not at all,17/07/15,4,Jaissi,1,Other,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Male,15 to 24,1 Not at all,1 Not at all,1 Not at all,News about government decisions,7 Refused,No difficulty.,1 Not at all,18/07/15,5,NA,1,Janajati,Farmer / Laborer
Healthcare,NA,Nuwakot,7,Female,40 to 54,5 Completely yes,1 Not at all,1 Not at all,News about government decisions,5 Completely yes,No difficulty.,1 Not at all,18/07/15,5,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,Not mentioned,Nuwakot,7,Female,15 to 24,1 Not at all,1 Not at all,1 Not at all,News about government decisions,4 Mostly yes,No difficulty.,1 Not at all,18/07/15,5,NA,1,Tamang,Other
Long term shelter / housing,NA,Nuwakot,7,Female,40 to 54,5 Completely yes,1 Not at all,1 Not at all,NA,5 Completely yes,No difficulty.,5 Completely yes,18/07/15,5,NA,1,Tamang,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Male,40 to 54,2 Very little,1 Not at all,2 Very little,Finding missing people,1 Not at all,"Yes, some difficulty.",2 Very little,18/07/15,5,NA,1,Brahmin,Farmer / Laborer
Financial support,not mentioned,Nuwakot,7,Male,55+,3 Neutral,1 Not at all,2 Very little,Finding missing people,5 Completely yes,"Yes, some difficulty.",1 Not at all,17/07/15,9,NA,1,Tamang,Other
Short-term shelter (tent / shelterbox),NA,Nuwakot,7,Male,15 to 24,5 Completely yes,1 Not at all,2 Very little,How to get shelter materials,1 Not at all,No difficulty.,2 Very little,17/07/15,4,NA,1,Chhetri,Farmer / Laborer
NA,NA,Nuwakot,7,Female,55+,3 Neutral,5 Completely yes,5 Completely yes,News about government decisions,5 Completely yes,No difficulty.,1 Not at all,17/07/15,9,NA,1,Tamang,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Female,40 to 54,3 Neutral,2 Very little,4 Mostly yes,News about government decisions,5 Completely yes,"Yes, some difficulty.",1 Not at all,17/07/15,9,NA,1,Tamang,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Male,Refused,5 Completely yes,1 Not at all,1 Not at all,NA,6 Don't know,No difficulty.,6 Don't know,18/07/15,4,NA,1,Janajati,Farmer / Laborer
Financial support,NA,Nuwakot,7,Female,40 to 54,3 Neutral,1 Not at all,3 Neutral,News about government decisions,5 Completely yes,No difficulty.,1 Not at all,17/07/15,9,NA,1,Newar,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Male,55+,5 Completely yes,1 Not at all,5 Completely yes,NA,5 Completely yes,No difficulty.,7 Refused,18/07/15,4,Not Mentioned,1,Other,Farmer / Laborer
Long term shelter / housing,not mentioned,Nuwakot,7,Female,40 to 54,3 Neutral,1 Not at all,2 Very little,Finding missing people,1 Not at all,"Yes, some difficulty.",1 Not at all,17/07/15,2,NA,1,Chhetri,Other
Long term shelter / housing,NA,Nuwakot,7,Female,25 to 39,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,18/07/15,4,NA,1,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Female,25 to 39,5 Completely yes,2 Very little,3 Neutral,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,16/07/15,2,NA,1,Chhetri,Farmer / Laborer
NA,Not Mentioned,Nuwakot,7,Male,55+,2 Very little,5 Completely yes,6 Don't know,NA,4 Mostly yes,Cannot do at all.,7 Refused,18/07/15,5,NA,1,Newar,Other
Long term shelter / housing,NA,Nuwakot,7,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,17/07/15,2,NA,1,Dalit,Farmer / Laborer
Healthcare,not mentioned,Nuwakot,7,Female,25 to 39,1 Not at all,3 Neutral,4 Mostly yes,Finding missing people,5 Completely yes,No difficulty.,2 Very little,18/07/15,5,NA,1,Tamang,Other
Short-term shelter (tent / shelterbox),NA,Nuwakot,7,Male,40 to 54,7 Refused,1 Not at all,1 Not at all,Finding missing people,1 Not at all,No difficulty.,3 Neutral,17/07/15,2,NA,1,Chhetri,NGO Worker / Business
Healthcare,NA,Nuwakot,7,Female,Refused,4 Mostly yes,3 Neutral,4 Mostly yes,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,18/07/15,5,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,not mentioned,Nuwakot,7,Male,40 to 54,2 Very little,3 Neutral,2 Very little,How to get shelter materials,1 Not at all,"Yes, some difficulty.",1 Not at all,17/07/15,7,NA,1,Tamang,Other
Long term shelter / housing,NA,Nuwakot,7,Male,55+,5 Completely yes,1 Not at all,5 Completely yes,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,17/07/15,7,NA,1,Tamang,Farmer / Laborer
Clean water,Not Mentoned,Nuwakot,7,Other,40 to 54,2 Very little,2 Very little,2 Very little,NA,4 Mostly yes,No difficulty.,4 Mostly yes,18/07/15,5,NA,1,Chhetri,Other
Long term shelter / housing,NA,Nuwakot,7,Female,25 to 39,5 Completely yes,2 Very little,5 Completely yes,News about government decisions,5 Completely yes,"Yes, some difficulty.",1 Not at all,17/07/15,7,NA,1,Tamang,Farmer / Laborer
NA,NA,Nuwakot,7,Male,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,How to get healthcare psychosocial support,6 Don't know,"Yes, some difficulty.",2 Very little,18/07/15,5,NA,1,Newar,Farmer / Laborer
Short-term shelter (tent / shelterbox),Not Mentioned,Nuwakot,7,Female,55+,7 Refused,1 Not at all,6 Don't know,NA,3 Neutral,No difficulty.,7 Refused,18/07/15,7,NA,1,Janajati,Other
Others,NA,Nuwakot,7,Male,40 to 54,5 Completely yes,1 Not at all,6 Don't know,NA,2 Very little,Cannot do at all.,7 Refused,18/07/15,7,NA,1,Brahmin,Farmer / Laborer
NA,Not Mentioned,Nuwakot,7,Male,55+,4 Mostly yes,7 Refused,2 Very little,NA,3 Neutral,No difficulty.,7 Refused,18/07/15,7,Not Mentioned,1,Other,Other
Short-term shelter (tent / shelterbox),Not Mentioned,Nuwakot,7,Male,25 to 39,7 Refused,2 Very little,4 Mostly yes,How to get shelter materials,4 Mostly yes,No difficulty.,2 Very little,18/07/15,7,NA,1,Janajati,Other
Short-term shelter (tent / shelterbox),NA,Nuwakot,7,Female,25 to 39,6 Don't know,2 Very little,2 Very little,How to get shelter materials,2 Very little,No difficulty.,1 Not at all,18/07/15,7,NA,1,Janajati,Farmer / Laborer
Short-term shelter (tent / shelterbox),Not Mentioned,Nuwakot,7,Male,25 to 39,1 Not at all,2 Very little,2 Very little,News about government decisions,6 Don't know,No difficulty.,1 Not at all,18/07/15,7,NA,1,Dalit,Other
Long term shelter / housing,NA,Nuwakot,7,Male,55+,2 Very little,1 Not at all,2 Very little,How to get shelter materials,1 Not at all,"Yes, some difficulty.",1 Not at all,17/07/15,7,NA,1,Tamang,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Male,55+,6 Don't know,2 Very little,1 Not at all,News about government decisions,6 Don't know,"Yes, some difficulty.",2 Very little,18/07/15,2,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Male,25 to 39,2 Very little,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,16/07/15,1,NA,1,Brahmin,NGO Worker / Business
Financial support,not mentioned,Nuwakot,7,Male,25 to 39,1 Not at all,1 Not at all,5 Completely yes,News about government decisions,1 Not at all,No difficulty.,3 Neutral,18/07/15,1,NA,1,Newar,Other
Short-term shelter (tent / shelterbox),NA,Nuwakot,7,Male,25 to 39,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",2 Very little,18/07/15,5,NA,1,Dalit,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,7,Male,Refused,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",2 Very little,18/07/15,5,NA,1,Janajati,Farmer / Laborer
